FPGA idle power [mW]:,3812.8

Program energy [mJ]:,7.86

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,41.4
20000,0.001,48.6
40000,0.002,71.6
60000,0.003,73.1
80000,0.004,70.2
100000,0.005,48.6
120000,0.006,91.8
140000,0.007,103.3
160000,0.008,100.8
180000,0.009,107.6
200000,0.010,98.9
220000,0.011,94.6
240000,0.012,86.0
260000,0.013,101.8
280000,0.014,107.6
300000,0.015,103.3
320000,0.016,104.7
340000,0.017,90.0
360000,0.018,103.3
380000,0.019,106.1
400000,0.020,109.0
420000,0.021,91.8
440000,0.022,107.6
460000,0.023,116.2
480000,0.024,97.5
500000,0.025,87.4
520000,0.026,97.7
540000,0.027,107.6
560000,0.028,101.8
580000,0.029,96.1
600000,0.030,104.7
620000,0.031,100.4
640000,0.032,101.8
660000,0.033,101.8
680000,0.034,116.2
700000,0.035,113.2
720000,0.036,107.6
740000,0.037,93.2
760000,0.038,101.8
780000,0.039,106.1
800000,0.040,109.0
820000,0.041,100.4
840000,0.042,97.5
860000,0.043,114.8
880000,0.044,107.0
900000,0.045,100.4
920000,0.046,107.6
940000,0.047,116.2
960000,0.048,114.8
980000,0.049,94.6
1000000,0.050,109.0
1020000,0.051,114.8
1040000,0.052,94.6
1060000,0.053,105.5
1080000,0.054,110.5
1100000,0.055,104.7
1120000,0.056,104.7
1140000,0.057,113.3
1160000,0.058,103.3
1180000,0.059,109.0
1200000,0.060,103.3
1220000,0.061,100.4
1240000,0.062,116.3
1260000,0.063,124.8
1280000,0.064,106.1
1300000,0.065,114.8
1320000,0.066,103.3
1340000,0.067,117.7
1360000,0.068,120.5
1380000,0.069,114.8
1400000,0.070,100.4
1420000,0.071,128.7
1440000,0.072,109.0
1460000,0.073,110.5
1480000,0.074,113.3
1500000,0.075,101.8
1520000,0.076,90.3
1540000,0.077,18.4
1560000,0.078,14.1
